Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
ABCAPITAL-I.NFO,12/09/2022,09:24:02,115.85,115.7,5400,115.85,5400,0,23981400
ABCAPITAL-I.NFO,12/09/2022,09:24:21,115.7,115.6,10800,115.8,10800,16200,23981400
ABCAPITAL-I.NFO,12/09/2022,09:24:40,115.7,115.5,5400,115.75,5400,0,23981400
ABCAPITAL-I.NFO,12/09/2022,09:24:59,115.7,115.55,16200,115.75,5400,0,23981400
ABCAPITAL-I.NFO,12/09/2022,09:25:18,115.7,115.6,5400,115.75,5400,0,23981400
ABCAPITAL-I.NFO,12/09/2022,09:25:36,115.75,115.6,5400,115.8,10800,5400,23981400
ABCAPITAL-I.NFO,12/09/2022,09:25:53,115.6,115.6,5400,115.7,5400,5400,23981400
ABCAPITAL-I.NFO,12/09/2022,09:26:12,115.6,115.6,5400,115.7,5400,0,23981400
ABCAPITAL-I.NFO,12/09/2022,09:26:31,115.7,115.6,16200,115.7,5400,5400,23981400
ABCAPITAL-I.NFO,12/09/2022,09:26:49,115.7,115.6,16200,115.75,10800,5400,23976000
ABCAPITAL-I.NFO,12/09/2022,09:27:06,115.7,115.6,10800,115.7,5400,5400,23976000
ABCAPITAL-I.NFO,12/09/2022,09:27:24,115.6,115.55,10800,115.7,5400,5400,23976000
ABCAPITAL-I.NFO,12/09/2022,09:27:43,115.6,115.55,16200,115.75,5400,0,23976000
ABCAPITAL-I.NFO,12/09/2022,09:28:02,115.65,115.6,10800,115.75,5400,5400,23976000
ABCAPITAL-I.NFO,12/09/2022,09:28:20,115.65,115.55,16200,115.65,16200,16200,23976000
ABCAPITAL-I.NFO,12/09/2022,09:28:40,115.65,115.65,5400,115.8,10800,16200,23976000
ABCAPITAL-I.NFO,12/09/2022,09:28:59,115.65,115.6,21600,115.75,5400,0,23976000
ABCAPITAL-I.NFO,12/09/2022,09:29:18,115.6,115.55,16200,115.7,10800,10800,23976000
